MinuteToComplete,Year,Nachklausur,Course,Grade,AttemptNumber,Bachelor/Master,Study
67,2021,No,Vis,4,1,Bachelor,WirtschaftsInformatik
15,2021,No,Vis,5,1,Master,WirtschaftsInformatik
72,2021,No,Vis,4,1,Bachelor,WirtschaftsInformatik
71,2021,No,Vis,1.3,1,Bachelor,WirtschaftsInformatik
80,2021,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
77,2021,No,Vis,2,2,Bachelor,WirtschaftsInformatik
90,2021,No,Vis,2,1,Bachelor,WirtschaftsInformatik
89,2021,No,Vis,3,1,Bachelor,WirtschaftsInformatik
15,2021,No,Vis,4,1,Master,(Wirtschafts-)Mathematik
65,2021,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
45,2021,No,Vis,2.3,2,Bachelor,WirtschaftsInformatik
15,2021,No,Vis,5,1,Bachelor,WirtschaftsInformatik
62,2021,No,Vis,2.3,1,Master,WirtschaftsInformatik
75,2021,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
58,2021,No,Vis,3,1,Bachelor,WirtschaftsInformatik
44,2021,Yes,Vis,5,1,Master,WirtschaftsInformatik
52,2021,Yes,Vis,1.7,1,Master,WirtschaftsInformatik
62,2021,Yes,Vis,1,2,Bachelor,WirtschaftsInformatik
59,2021,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
76,2021,Yes,Vis,2.3,1,Bachelor,(Wirtschafts-)Mathematik
28,2021,Yes,Vis,3,2,Bachelor,WirtschaftsInformatik
67,2021,Yes,Vis,2.3,2,Bachelor,(Wirtschafts-)Mathematik
53,2021,Yes,Vis,5,2,Bachelor,WirtschaftsInformatik
62,2021,Yes,Vis,2,1,Bachelor,WirtschaftsInformatik
34,2021,Yes,Vis,3,1,Bachelor,(Wirtschafts-)Mathematik
55,2021,Yes,Vis,4,1,Bachelor,WirtschaftsInformatik
63,2021,Yes,Vis,5,1,Bachelor,(Wirtschafts-)Mathematik
42,2021,Yes,Vis,3.3,1,Master,(Wirtschafts-)Mathematik
71,2021,Yes,Vis,2.3,2,Bachelor,WirtschaftsInformatik
49,2021,Yes,Vis,3,1,Master,(Wirtschafts-)Mathematik
61,2021,Yes,Vis,1,1,Bachelor,WirtschaftsInformatik
58,2021,Yes,Vis,1,1,Bachelor,WirtschaftsInformatik
25,2021,Yes,Vis,2.3,1,Bachelor,WirtschaftsInformatik
37,2021,Yes,Vis,5,1,Master,(Wirtschafts-)Mathematik
70,2021,Yes,Vis,1.7,1,Master,WirtschaftsInformatik
70,2021,Yes,Vis,5,2,Master,(Wirtschafts-)Mathematik
42,2021,Yes,Vis,3.7,1,Master,WirtschaftsInformatik
42,2021,Yes,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
66,2021,Yes,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
53,2021,Yes,Vis,4,1,Bachelor,WirtschaftsInformatik
58,2021,Yes,Vis,1,1,Bachelor,WirtschaftsInformatik
65,2021,Yes,Vis,2.3,1,Bachelor,(Wirtschafts-)Mathematik
56,2021,Yes,Vis,3,1,Bachelor,WirtschaftsInformatik
40,2021,Yes,Vis,1,1,Bachelor,WirtschaftsInformatik
67,2021,Yes,Vis,2.3,1,Bachelor,WirtschaftsInformatik
16,2021,Yes,Vis,3.3,2,Master,(Wirtschafts-)Mathematik
57,2021,Yes,Vis,5,1,Bachelor,(Wirtschafts-)Mathematik
38,2021,Yes,Vis,1,2,Bachelor,WirtschaftsInformatik
43,2021,Yes,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
65,2021,Yes,Vis,3,2,Master,WirtschaftsInformatik
58,2021,Yes,Vis,1,1,Bachelor,WirtschaftsInformatik
45,2021,Yes,Vis,1.7,1,Master,WirtschaftsInformatik
59,2021,Yes,Vis,1.7,1,Bachelor,WirtschaftsInformatik
76,2021,Yes,Vis,3.7,1,Bachelor,WirtschaftsInformatik
79,2021,Yes,Vis,1,2,Bachelor,WirtschaftsInformatik
55,2021,Yes,Vis,1.3,1,Bachelor,(Wirtschafts-)Mathematik
71,2021,No,VA,1.3,1,Bachelor,WirtschaftsInformatik
75,2021,No,VA,3.7,1,Master,(Wirtschafts-)Mathematik
37,2021,No,VA,5,1,Master,WirtschaftsInformatik
58,2021,No,VA,1.7,1,Master,WirtschaftsInformatik
64,2021,No,VA,1.7,1,Master,WirtschaftsInformatik
44,2021,No,VA,4,1,Master,(Wirtschafts-)Mathematik
27,2021,No,VA,2.3,1,Master,WirtschaftsInformatik
71,2021,No,VA,2.3,1,Master,WirtschaftsInformatik
53,2021,No,VA,2.7,1,Master,(Wirtschafts-)Mathematik
45,2021,No,VA,3,1,Bachelor,(Wirtschafts-)Mathematik
71,2021,No,VA,4,2,Bachelor,WirtschaftsInformatik
33,2021,No,VA,5,2,Bachelor,WirtschaftsInformatik
69,2021,No,VA,2,1,Master,WirtschaftsInformatik
49,2021,No,VA,3,2,Bachelor,WirtschaftsInformatik
32,2021,No,VA,2.7,1,Master,(Wirtschafts-)Mathematik
52,2021,No,VA,1.3,1,Bachelor,WirtschaftsInformatik
89,2021,No,VA,3.3,1,Master,WirtschaftsInformatik
81,2021,No,VA,4,3,Master,(Wirtschafts-)Mathematik
61,2021,No,VA,2,3,Master,WirtschaftsInformatik
43,2021,No,VA,4,1,Master,WirtschaftsInformatik
52,2021,No,VA,5,1,Bachelor,(Wirtschafts-)Mathematik
41,2021,No,VA,5,1,Master,WirtschaftsInformatik
53,2021,No,VA,1.7,1,Master,(Wirtschafts-)Mathematik
84,2021,No,VA,4,1,Bachelor,WirtschaftsInformatik
60,2021,No,VA,5,1,Bachelor,WirtschaftsInformatik
45,2021,No,VA,5,1,Master,WirtschaftsInformatik
77,2021,No,VA,2,1,Master,WirtschaftsInformatik
28,2021,No,VA,3,1,Master,WirtschaftsInformatik
78,2021,No,VA,4,1,Bachelor,(Wirtschafts-)Mathematik
38,2021,No,VA,5,1,Master,(Wirtschafts-)Mathematik
62,2021,No,VA,2.7,1,Master,(Wirtschafts-)Mathematik
67,2021,No,VA,3.7,1,Master,WirtschaftsInformatik
54,2021,No,VA,2.3,2,Bachelor,WirtschaftsInformatik
55,2021,No,VA,2,1,Master,(Wirtschafts-)Mathematik
51,2021,Yes,VA,5,1,Bachelor,WirtschaftsInformatik
83,2021,Yes,VA,2.7,1,Bachelor,WirtschaftsInformatik
74,2021,Yes,VA,3.7,1,Master,(Wirtschafts-)Mathematik
65,2021,Yes,VA,2.3,1,Bachelor,(Wirtschafts-)Mathematik
33,2021,Yes,VA,4,2,Master,(Wirtschafts-)Mathematik
